date_received,date_occurred,time_occurrence,record_id,incident_id,ia_no,officer_1,officer_2,officer_3,officer_4,officer_5,officer_6,officer_7,officer_8,officer_9
1/2/17,1/2/17,2:26,37465,80-17-00278,80-17-00278,7340,2098,,,,,,,
1/3/17,1/3/17,11:33,37460,80-17-000775,80-17-000775,7619,2927,2499,7157,,,,,
1/16/17,1/16/17,22:22,38164,80-17-001950,80-17-001950,7305,7247,7271,,,,,,
1/8/17,1/8/17,1:35,37478,80-17-002186,80-17-002186,7262,7261,,,,,,,
1/10/17,1/10/17,9:00,37518,80-17-002818,80-17-002818,2218,7905,,,,,,,
1/10/17,1/10/17,13:36,37490,80-17-002877,80-17-002877,7008,,,,,,,,
1/10/17,1/10/17,14:30,37511,80-17-002897,80-17-002897,2042,7390,,,,,,,
1/11/17,1/10/17,21:15,37492,80-17-003059,80-17-003059,7001,7943,,,,,,,
1/11/17,1/11/17,21:27,37495,80-17-003344,80-17-003344,7964,,,,,,,,
1/12/17,1/12/17,9:23,37500,80-17-003457,80-17-003457,7207,7119,,,,,,,
1/12/17,1/12/17,11:58,37502,80-17-003518,80-17-003518,7827,,,,,,,,
1/12/17,1/12/17,15:41,37560,80-17-003575,80-17-003575,7370,,,,,,,,
1/13/17,1/13/17,10:10,37893,80-17-003755,80-17-003755,pg 109,,,,,,,,
1/31/17,1/13/17,22:02,37880,80-17-003993,80-17-003993,,,,,,,,,
1/15/17,1/14/17,10:15,37514,80-17-004076,80-17-004076,,,,,,,,,
1/16/17,1/16/17,12:49,37689,80-17-004639,80-17-004639,,,,,,,,,
1/17/17,1/17/17,13:43,37701,80-17-005027,80-17-005027,,,,,,,,,
1/18/17,1/18/17,20:30,37675,80-17-005452,80-17-005452,,,,,,,,,
1/20/17,1/20/17,15:15,37836,80-17-006003,80-17-006003,,,,,,,,,
1/20/17,1/17/17,21:00,37696,80-17-006146,80-17-006146,,,,,,,,,
1/27/17,1/23/17,2:23,37848,80-17-006621,80-17-006621,,,,,,,,,
1/24/17,1/24/17,12:55,37866,80-17-007048,80-17-007048,,,,,,,,,
1/25/17,1/25/17,0:11,37854,80-17-007263,80-17-007263,,,,,,,,,
1/27/17,1/27/17,7:14,37850,80-17-007875,80-17-007875,,,,,,,,,
1/27/17,1/27/17,11:30,37851,80-17-007945,80-17-007945,,,,,,,,,
1/28/17,1/27/17,20:18,37855,80-17-008104,80-17-008104,,,,,,,,,
1/29/17,1/28/17,2:00,37862,80-17-008166,80-17-0008166,,,,,,,,,
1/28/17,1/28/17,10:00,37860,80-17-008203,80-17-008203,,,,,,,,,
1/28/17,1/28/17,20:10,37912,80-17-008257,80-17-008257,,,,,,,,,
1/29/17,1/29/17,7:30,37867,80-17-008414,80-17-008414,,,,,,,,,
1/30/17,1/29/17,23:45,37896,80-17-008562,80-17-008562,,,,,,,,,
1/30/17,1/30/17,10:52,37870,80-17-008658,80-17-008658,,,,,,,,,
1/31/17,1/31/17,19:30,37899,80-17-009069,80-17-009069,,,,,,,,,
2/1/17,2/1/17,15:05,37894,80-17-009273,NA,,,,,,,,,
2/7/17,2/1/17,23:42,37913,80-17-009390,80-17-009390,,,,,,,,,
2/3/17,2/2/17,23:50,37895,80-17-009691,80-17-009691,,,,,,,,,
2/4/17,2/4/17,16:14,38098,80-17-010274,80-17-010274,,,,,,,,,
2/4/17,2/4/17,19:00,38041,80-17-010315,80-17-010315,,,,,,,,,
2/5/17,2/5/17,4:31,37935,80-17-010408,80-17-010408,,,,,,,,,
2/28/17,2/6/17,1:56,38048,80-17-010601,80-17-010601,,,,,,,,,
1/5/17,1/5/17,10:32,37472,80-17-011484,80-17-011484,,,,,,,,,
2/10/17,2/10/17,10:43,37945,80-17-011877,80-17-011877,,,,,,,,,
2/11/17,2/11/17,12:33,38033,80-17-012200,80-17-012200,,,,,,,,,
2/11/17,2/11/17,20:30,37975,80-17-012301,80-17-012301,,,,,,,,,
2/12/17,2/12/17,21:48,37981,80-17-012566,80-17-012566,,,,,,,,,
2/12/17,2/12/17,21:39,38035,80-17-012569,80-17-012569,,,,,,,,,
2/14/17,2/14/17,10:09,37967,80-17-012946,80-17-012946,,,,,,,,,
2/14/17,2/14/17,22:14,37972,80-17-013159,80-17-013159,,,,,,,,,
2/15/17,2/15/17,19:45,37976,80-17-013476,80-17-013476,,,,,,,,,
2/16/17,2/16/17,13:32,38003,80-17-013613,80-17-013613,,,,,,,,,
2/17/17,2/17/17,3:38,37982,80-17-013786,80-17-013786,,,,,,,,,
2/17/17,2/17/17,8:00,37984,80-17-013811,80-17-013811,,,,,,,,,
2/17/17,2/17/17,13:30,38180,80-17-013910,80-17-013910,,,,,,,,,
2/17/17,2/17/17,20:24,37990,80-17-014090,80-17-014090,,,,,,,,,
2/18/17,2/18/17,15:10,38046,80-17-014267,80-17-014267,,,,,,,,,
2/20/17,2/20/17,21:40,38004,80-17-014904,80-17-014904,,,,,,,,,
2/21/17,2/21/17,17:16,38032,8017015136,80-17-015136,,,,,,,,,
2/21/17,2/21/17,18:17,38030,80-17-015159,80-17-015159,,,,,,,,,
2/21/17,2/21/17,20:45,38027,80-17-015186,80-17-015186,,,,,,,,,
